Time;Bond Pay
0,106849315;1,5
0,153424658;5
0,25;0
0,432876712;4,25
0,5;0
0,652054795;3,5
0,75;0
1;0
1,104109589;1,5
1,153424658;5
1,25;0
1,430136986;4,25
1,5;0
1,652054795;3,5
1,75;0
2;0
2,104109589;1,5
2,15890411;5
2,25;0
2,430136986;104,25
2,5;0
2,657534247;3,5
2,75;0
3;0
3,104109589;1,5
3,156164384;5
3,25;0
3,5;0
3,654794521;3,5
3,75;0
4;0
4,106849315;1,5
4,156164384;105
4,25;0
4,5;0
4,654794521;3,5
4,75;0
5;0
5,112328767;1,5
5,25;0
5,5;0
5,654794521;103,5
5,75;0
6;0
6,109589041;1,5
6,25;0
6,5;0
6,75;0
7;0
7,106849315;101,5
7,25;0
7,5;0
